                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81726,                 2.2536,                 2.4682,                 1.2204,                  0.006,                0.94737,                0.59461,                0.33789,                  0.006,                0.94737,                0.61309,                0.41825,                0.95865,                 2.4433,                 2.9111,                 1.6575,                0.00014,                0.00014,                0.00014
                      2,                0.65463,                 1.1401,                 1.5164,                 1.1013,                0.78893,                0.19887,                0.45817,                0.25241,                      1,                0.24744,                0.55434,                 0.3959,                  1.278,                 2.4711,                 2.8016,                 2.1105,             0.00029406,             0.00029406,             0.00029406
                      3,                0.71396,                 1.0006,                 1.2944,                 1.1223,                0.81417,                 0.2329,                0.55436,                0.19985,                0.80142,                0.21277,                0.44807,                0.24056,                 1.4327,                 3.6283,                 2.9145,                 2.3093,             0.00044178,             0.00044178,             0.00044178
                      4,                0.67979,                0.88147,                 1.2158,                 1.0802,                0.45776,                0.31579,                 0.4187,                0.25037,                0.57691,                0.36842,                0.46954,                0.25787,                 1.3469,                 4.4342,                 2.6296,                 2.0908,             0.00058317,             0.00058317,             0.00058317
                      5,                 0.6631,                0.84545,                 1.1567,                 1.0615,                0.73703,                0.29667,                0.35901,                0.16201,                      1,                 0.3835,                0.55404,                0.27611,                 2.2497,                 5.3926,                 2.8654,                 2.8939,             0.00071822,             0.00071822,             0.00071822
                      6,                0.64551,                0.90854,                 1.1277,                 1.0503,                0.71521,                0.39777,                0.60814,                0.29885,                      1,                0.43716,                0.64106,                0.37773,                  1.716,                 5.0019,                 2.4998,                 2.7485,             0.00084694,             0.00084694,             0.00084694
                      7,                0.69776,                0.95633,                  1.144,                 1.0827,                0.72581,                0.68421,                0.68721,                0.32433,                0.58085,                0.52632,                0.60865,                0.35072,                 1.6893,                 4.9085,                 2.2949,                 2.4959,             0.00096932,             0.00096932,             0.00096932
                      8,                 0.7287,                0.91999,                 1.1405,                 1.1044,                 0.5039,                0.48148,                0.42199,                0.16842,                0.50924,                0.31579,                 0.3695,                0.18266,                 1.8235,                 4.8824,                 2.6735,                 2.7675,              0.0010854,              0.0010854,              0.0010854
                      9,                0.69177,                0.93067,                 1.0811,                 1.0756,                0.17563,                0.21053,                0.08873,                0.01844,                0.31847,                0.31579,                0.14087,                0.02876,                 2.7246,                 6.0622,                 3.3046,                 3.5074,              0.0011951,              0.0011951,              0.0011951
                     10,                0.67071,                0.90047,                 1.0547,                 1.0671,                0.19961,                0.36842,                0.14244,                0.05602,                 0.4968,                0.36404,                0.28125,                    0.1,                 2.4325,                 9.0781,                  3.702,                  3.189,              0.0012984,              0.0012984,              0.0012984
